Date,EW_Large_NoDiv,EW_Large_WithDiv,EW_Small_NoDiv,EW_Small_WithDiv
1980-01-02,,,,
1980-01-03,-0.0011316369589854506,-0.0011315882745025635,,
1980-01-04,0.00768505044954927,0.007685157058267758,,
1980-01-07,0.0010641574944138196,0.0010641012545301557,,
1980-01-08,0.014170698070182194,0.014170744622993952,,
1980-01-09,0.002237021285161268,0.002236875388357216,,
1980-01-10,0.001499137337341392,0.0014992330744859907,,
1980-01-11,-0.006776364362171004,-0.0067763975119558865,,
1980-01-14,0.0012326375824609065,0.0023840821782017494,,
1980-01-15,-0.0039959922069987665,-0.00399596641632807,,
1980-01-16,-0.004779687045837598,-0.004779655476958933,,
1980-01-17,-0.012894241304955048,-0.012894416563671301,,
1980-01-18,-0.002060732879963555,-0.002060530477496893,,
1980-01-21,0.013405234343561778,0.01340533020632521,,
1980-01-22,0.0028063461348883227,0.002806088691105948,,
1980-01-23,0.0065670679838070066,0.006567271484350337,,
1980-01-24,-0.0032624279596678895,-0.0032624811302818246,,
1980-01-25,0.0020823831381734112,0.002082334707837354,,
1980-01-28,0.005638637393831734,0.005638688931580028,,
1980-01-29,0.0006324725796925121,0.0006325083976707385,,
1980-01-30,0.005227974840304503,0.005227864313202417,,
1980-01-31,0.0005018049762996749,0.0005017522547717269,,
1980-02-01,-0.0003178917151707609,-0.0003178808691453606,,
1980-02-04,-0.00967019053435636,-0.007750899095452984,,
1980-02-05,0.0025445708099197184,0.002544643623363244,,
1980-02-06,0.0033225359540221045,0.0033225019593572875,,
1980-02-07,0.0034766069869372656,0.0034766067906628942,,
1980-02-08,0.004488110532443799,0.005447205046359682,,
1980-02-11,-0.009378466363512557,-0.009378501786888427,,
1980-02-12,0.00893892795776694,0.00893904212062191,,
1980-02-13,-0.00010062998910039507,-0.00010057859220441957,,
1980-02-14,-0.006055137762262118,-0.006054780061399088,,
1980-02-15,-0.01726884774810915,-0.01658784915764461,,
1980-02-19,-0.004948574659474478,-0.004948428430362641,,
1980-02-20,0.013267478511160072,0.013267356479761457,,
1980-02-21,-0.01701441903610503,-0.017014141054854923,,
1980-02-22,-0.00011611653278521643,-0.00011616199480235096,,
1980-02-25,-0.004084981713397365,-0.004085113208662531,,
1980-02-26,0.002237635219100945,0.002237631108969796,,
1980-02-27,-0.010451816190894542,-0.01045193911525339,,
1980-02-28,-0.0015933212023557415,-0.0006614771805145622,,
1980-02-29,0.003118939504647959,0.0031190243994396495,,
1980-03-03,-0.017387297762005698,-0.017387601059530307,,
1980-03-04,-0.00839245545275583,-0.008392287193366321,,
1980-03-05,-0.01570325172015856,-0.015703160000121747,,
1980-03-06,-0.024854501755538973,-0.024854364939930824,,
1980-03-07,-0.0009692068803874295,-0.0009693843384530436,,
1980-03-10,0.0009049194587876557,0.0023049321276125746,,
1980-03-11,0.01619572713802335,0.01801229793719032,,
1980-03-12,-0.002417880019865465,-0.002418007395792495,,
1980-03-13,-0.005714324547692779,-0.005714541007615082,,
1980-03-14,-0.006172610897511644,-0.006172374405716146,,
1980-03-17,-0.018230035232052313,-0.01823027719897841,,
1980-03-18,0.008917112648920143,0.008917299100083566,-0.06453904416839185,-0.06453848242639851
1980-03-19,0.006211000845984823,0.006210877875526947,0.0,0.0
1980-03-20,-0.00961018772801911,-0.009610084728984392,0.032790058165263335,0.032789702943225404
1980-03-21,-0.0012476191637983808,-0.0012476651002989116,0.0,0.0
1980-03-24,-0.03421548380423862,-0.034215448856869085,-0.03279005816526326,-0.03278970294322546
1980-03-25,0.002884272795815689,0.0028842325771870733,-0.033900619376902696,-0.033901103160134886
1980-03-26,-0.005765216657023458,-0.00576517262824161,0.0,0.0
1980-03-27,-0.018532631235494177,-0.01853269096397886,-0.053110211417377554,-0.053110442750986704
1980-03-28,0.040693523993538525,0.040958885843876705,0.018018664345147442,0.018018608062158756
1980-03-31,0.026134566616297643,0.02613454642580731,0.06899216644913289,0.06899293784896267
1980-04-01,0.006654531598600139,0.006654342938358052,0.06453904416839187,0.06453848242639844
1980-04-02,0.007335786788192036,0.0073360018959269125,0.06062401043045607,0.06062413223382761
1980-04-03,0.002383404089488282,0.0023834614897602375,0.0,0.0
1980-04-07,-0.02366442163514621,-0.023664518932955656,-0.0298521465341234,-0.029852021936819427
1980-04-08,0.0046478419521359254,0.004647844535382681,0.029852146534123276,0.029852021936819323
1980-04-09,0.01793557270434643,0.017935556170835545,0.0,0.0
1980-04-10,0.014004663022382886,0.014004738504031798,0.0,0.0
1980-04-11,-0.0043100270265551185,-0.0043101965233307915,0.0,0.0
1980-04-14,-0.011771744715996492,-0.010838396875530362,0.0,0.0
1980-04-15,-0.002806086314824321,-0.002806229337948614,0.05715888366490596,0.057158838903931385
1980-04-16,-0.008114918733958256,-0.008114960782193505,0.0,0.0
