Date,Portfolio_Return,Abs_Return,Realized_Volatility,VIX_Close,SPY_Volume_Change,Forecast_Prob_Low_Vol,Forecast_Prob_High_Vol,Filtered_Prob_Low_Vol,Filtered_Prob_High_Vol,Next_Day_Forecast_Prob_Low_Vol,Next_Day_Forecast_Prob_High_Vol,Forecast_Regime,Filtered_Regime
2010-01-04,0.012636831098146596,0.012636831098146596,0.12553242888878488,20.040000915527344,0.2717853906203942,0.9906412185678237,0.00935878143217616,0.9997737910695496,0.0002262089304506767,0.9905314704827781,0.009468529517222051,low_vol,low_vol
2010-01-05,-0.002099550969352473,0.002099550969352473,0.12024953860932416,19.350000381469727,-0.0639169122937346,0.9905314704827781,0.009468529517222051,0.9999453939589501,5.460604104969107e-05,0.9906969831899798,0.009303016810019932,low_vol,low_vol
2010-01-06,-0.0026731135752411203,0.0026731135752411203,0.11286815871085046,19.15999984741211,0.0394904386218861,0.9906969831899798,0.009303016810019932,0.9999464092592605,5.359074073927004e-05,0.9906979624573079,0.009302037542691814,low_vol,low_vol
2010-01-07,0.011772757699211754,0.011772757699211754,0.11787809510461694,19.059999465942383,0.1216611365352378,0.9906979624573079,0.009302037542691814,0.9998402606220069,0.00015973937799303558,0.9905955810325022,0.009404418967497738,low_vol,low_vol
2010-01-08,0.001971073247118835,0.001971073247118835,0.11200241125702441,18.1299991607666,-0.036418867990001,0.9905955810325022,0.009404418967497738,0.9999552926356138,4.470736438619218e-05,0.9907065305628594,0.00929346943714053,low_vol,low_vol
2010-01-11,-0.003976746152803213,0.003976746152803213,0.1137784515670048,17.549999237060547,-0.1724964660007195,0.9907065305628594,0.00929346943714053,0.9999650668515331,3.493314846680086e-05,0.9907159578921032,0.00928404210789658,low_vol,low_vol
2010-01-12,-0.01253202022886037,0.01253202022886037,0.1240984989113432,18.25,0.4288169554787835,0.9907159578921032,0.00928404210789658,0.9998673720612242,0.0001326279387757798,0.9906217302874283,0.009378269712571687,low_vol,low_vol
2010-01-13,0.012001280853819712,0.012001280853819712,0.12859251411762412,17.850000381469727,-0.0092971571291968,0.9906217302874283,0.009378269712571687,0.9998602958886726,0.00013970411132743256,0.9906149052480614,0.00938509475193869,low_vol,low_vol
2010-01-14,0.01545126741312307,0.01545126741312307,0.1342275422338027,17.6299991607666,-0.3353338555191207,0.9906149052480614,0.00938509475193869,0.9995626981449157,0.00043730185508460075,0.9903278692406935,0.009672130759306802,low_vol,low_vol
2010-01-15,-0.010049446106955396,0.010049446106955396,0.1351735517845412,17.90999984741211,0.606757651011236,0.9903278692406935,0.009672130759306802,0.9999654661474262,3.4533852573844534e-05,0.9907163430169953,0.009283656983004752,low_vol,low_vol
