Date,Close
2010-01-04,22.920000076293945
2010-01-05,22.90999984741211
2010-01-06,22.850000381469727
2010-01-07,23.0
2010-01-08,22.84000015258789
2010-01-11,22.719999313354492
2010-01-12,22.719999313354492
2010-01-13,22.700000762939453
2010-01-14,22.639999389648438
2010-01-15,22.770000457763672
2010-01-19,22.84000015258789
2010-01-20,23.1200008392334
2010-01-21,23.1200008392334
2010-01-22,23.079999923706055
2010-01-25,23.049999237060547
2010-01-26,23.149999618530273
2010-01-27,23.229999542236328
2010-01-28,23.270000457763672
2010-01-29,23.450000762939453
2010-02-01,23.350000381469727
2010-02-02,23.270000457763672
2010-02-03,23.399999618530273
2010-02-04,23.549999237060547
2010-02-05,23.649999618530273
2010-02-08,23.639999389648438
2010-02-09,23.489999771118164
2010-02-10,23.559999465942383
2010-02-11,23.549999237060547
2010-02-12,23.6299991607666
2010-02-16,23.43000030517578
2010-02-17,23.649999618530273
2010-02-18,23.649999618530273
2010-02-19,23.719999313354492
2010-02-22,23.68000030517578
2010-02-23,23.809999465942383
2010-02-24,23.760000228881836
2010-02-25,23.709999084472656
2010-02-26,23.639999389648438
2010-03-01,23.719999313354492
2010-03-02,23.649999618530273
2010-03-03,23.510000228881836
2010-03-04,23.639999389648438
2010-03-05,23.6299991607666
2010-03-08,23.6200008392334
2010-03-09,23.65999984741211
2010-03-10,23.6200008392334
2010-03-11,23.56999969482422
2010-03-12,23.420000076293945
2010-03-15,23.549999237060547
2010-03-16,23.3799991607666
2010-03-17,23.389999389648438
2010-03-18,23.549999237060547
2010-03-19,23.709999084472656
2010-03-22,23.649999618530273
2010-03-23,23.729999542236328
2010-03-24,24.049999237060547
2010-03-25,24.1299991607666
2010-03-26,23.959999084472656
2010-03-29,23.84000015258789
2010-03-30,23.93000030517578
2010-03-31,23.799999237060547
2010-04-01,23.65999984741211
2010-04-05,23.780000686645508
2010-04-06,23.850000381469727
2010-04-07,23.899999618530273
2010-04-08,23.8799991607666
2010-04-09,23.700000762939453
2010-04-12,23.600000381469727
2010-04-13,23.600000381469727
2010-04-14,23.479999542236328
2010-04-15,23.56999969482422
2010-04-16,23.649999618530273
2010-04-19,23.690000534057617
2010-04-20,23.729999542236328
2010-04-21,23.780000686645508
2010-04-22,23.889999389648438
2010-04-23,23.84000015258789
2010-04-26,23.829999923706055
2010-04-27,24.1200008392334
2010-04-28,24.110000610351562
2010-04-29,24.0
2010-04-30,23.959999084472656
2010-05-03,24.110000610351562
2010-05-04,24.3799991607666
2010-05-05,24.610000610351562
2010-05-06,24.809999465942383
2010-05-07,24.700000762939453
2010-05-10,24.639999389648438
2010-05-11,24.75
2010-05-12,24.81999969482422
2010-05-13,24.959999084472656
2010-05-14,25.190000534057617
2010-05-17,25.190000534057617
2010-05-18,25.459999084472656
2010-05-19,25.219999313354492
2010-05-20,25.09000015258789
2010-05-21,24.979999542236328
2010-05-24,25.229999542236328
2010-05-25,25.299999237060547
2010-05-26,25.469999313354492
2010-05-27,25.200000762939453
2010-05-28,25.34000015258789
2010-06-01,25.350000381469727
2010-06-02,25.34000015258789
2010-06-03,25.469999313354492
2010-06-04,25.770000457763672
2010-06-07,25.829999923706055
2010-06-08,25.75
2010-06-09,25.649999618530273
2010-06-10,25.3799991607666
2010-06-11,25.459999084472656
2010-06-14,25.229999542236328
2010-06-15,25.020000457763672
2010-06-16,25.100000381469727
2010-06-17,24.950000762939453
2010-06-18,24.940000534057617
2010-06-21,25.030000686645508
2010-06-22,25.06999969482422
2010-06-23,24.969999313354492
2010-06-24,24.969999313354492
2010-06-25,24.829999923706055
2010-06-28,24.959999084472656
2010-06-29,25.079999923706055
2010-06-30,25.059999465942383
2010-07-01,24.600000381469727
2010-07-02,24.56999969482422
2010-07-06,24.489999771118164
2010-07-07,24.40999984741211
2010-07-08,24.3799991607666
2010-07-09,24.440000534057617
2010-07-12,24.510000228881836
2010-07-13,24.299999237060547
2010-07-14,24.25
2010-07-15,23.969999313354492
2010-07-16,24.010000228881836
2010-07-19,24.030000686645508
2010-07-20,24.06999969482422
2010-07-21,24.229999542236328
2010-07-22,24.030000686645508
2010-07-23,23.989999771118164
2010-07-26,23.860000610351562
2010-07-27,23.899999618530273
2010-07-28,23.889999389648438
2010-07-29,23.729999542236328
2010-07-30,23.739999771118164
2010-08-02,23.520000457763672
2010-08-03,23.420000076293945
2010-08-04,23.549999237060547
2010-08-05,23.469999313354492
2010-08-06,23.350000381469727
2010-08-09,23.469999313354492
2010-08-10,23.520000457763672
2010-08-11,23.93000030517578
2010-08-12,24.010000228881836
2010-08-13,24.110000610351562
2010-08-16,23.959999084472656
2010-08-17,23.8799991607666
2010-08-18,23.90999984741211
2010-08-19,23.959999084472656
2010-08-20,24.1299991607666
2010-08-23,24.18000030517578
2010-08-24,24.139999389648438
2010-08-25,24.18000030517578
2010-08-26,24.030000686645508
2010-08-27,24.06999969482422
2010-08-30,24.139999389648438
2010-08-31,24.1200008392334
2010-09-01,23.93000030517578
2010-09-02,23.90999984741211
2010-09-03,23.790000915527344
2010-09-07,24.040000915527344
2010-09-08,23.959999084472656
2010-09-09,23.959999084472656
2010-09-10,23.979999542236328
2010-09-13,23.719999313354492
2010-09-14,23.520000457763672
2010-09-15,23.6200008392334
2010-09-16,23.540000915527344
2010-09-17,23.600000381469727
2010-09-20,23.56999969482422
2010-09-21,23.309999465942383
2010-09-22,23.139999389648438
2010-09-23,23.209999084472656
2010-09-24,22.969999313354492
2010-09-27,23.0
2010-09-28,22.8799991607666
2010-09-29,22.84000015258789
2010-09-30,22.84000015258789
2010-10-01,22.649999618530273
2010-10-04,22.75
2010-10-05,22.559999465942383
2010-10-06,22.450000762939453
2010-10-07,22.479999542236328
2010-10-08,22.399999618530273
2010-10-11,22.489999771118164
2010-10-12,22.420000076293945
2010-10-13,22.360000610351562
2010-10-14,22.209999084472656
2010-10-15,22.34000015258789
2010-10-18,22.31999969482422
2010-10-19,22.700000762939453
2010-10-20,22.389999389648438
2010-10-21,22.469999313354492
2010-10-22,22.469999313354492
2010-10-25,22.3700008392334
2010-10-26,22.520000457763672
2010-10-27,22.649999618530273
2010-10-28,22.40999984741211
2010-10-29,22.3700008392334
2010-11-01,22.40999984741211
2010-11-02,22.25
2010-11-03,22.139999389648438
2010-11-04,21.969999313354492
2010-11-05,22.18000030517578
2010-11-08,22.309999465942383
2010-11-09,22.5
2010-11-10,22.479999542236328
2010-11-11,22.639999389648438
2010-11-12,22.610000610351562
2010-11-15,22.790000915527344
2010-11-16,22.920000076293945
2010-11-17,22.899999618530273
2010-11-18,22.739999771118164
2010-11-19,22.670000076293945
2010-11-22,22.739999771118164
2010-11-23,23.040000915527344
2010-11-24,23.06999969482422
2010-11-26,23.209999084472656
2010-11-29,23.350000381469727
2010-11-30,23.5
2010-12-01,23.299999237060547
2010-12-02,23.15999984741211
2010-12-03,22.8799991607666
2010-12-06,22.989999771118164
2010-12-07,23.09000015258789
2010-12-08,23.100000381469727
2010-12-09,23.1200008392334
2010-12-10,23.1200008392334
2010-12-13,22.8700008392334
2010-12-14,22.90999984741211
2010-12-15,23.149999618530273
2010-12-16,23.09000015258789
2010-12-17,23.190000534057617
2010-12-20,23.239999771118164
2010-12-21,23.290000915527344
2010-12-22,23.270000457763672
2010-12-23,23.200000762939453
2010-12-27,23.149999618530273
2010-12-28,23.15999984741211
2010-12-29,23.0
2010-12-30,22.920000076293945
2010-12-31,22.709999084472656
2011-01-03,22.81999969482422
2011-01-04,22.8799991607666
2011-01-05,23.110000610351562
2011-01-06,23.290000915527344
2011-01-07,23.360000610351562
2011-01-10,23.280000686645508
2011-01-11,23.270000457763672
2011-01-12,23.040000915527344
2011-01-13,22.799999237060547
2011-01-14,22.770000457763672
2011-01-18,22.75
2011-01-19,22.610000610351562
2011-01-20,22.68000030517578
2011-01-21,22.489999771118164
2011-01-24,22.440000534057617
2011-01-25,22.43000030517578
2011-01-26,22.389999389648438
2011-01-27,22.350000381469727
2011-01-28,22.489999771118164
2011-01-31,22.360000610351562
2011-02-01,22.139999389648438
2011-02-02,22.18000030517578
2011-02-03,22.360000610351562
2011-02-04,22.43000030517578
2011-02-07,22.43000030517578
2011-02-08,22.40999984741211
2011-02-09,22.309999465942383
2011-02-10,22.489999771118164
2011-02-11,22.549999237060547
2011-02-14,22.579999923706055
2011-02-15,22.600000381469727
2011-02-16,22.469999313354492
2011-02-17,22.40999984741211
2011-02-18,22.299999237060547
2011-02-22,22.360000610351562
2011-02-23,22.229999542236328
2011-02-24,22.149999618530273
2011-02-25,22.190000534057617
2011-02-28,22.09000015258789
2011-03-01,22.1200008392334
2011-03-02,22.0
2011-03-03,21.969999313354492
2011-03-04,21.940000534057617
2011-03-07,21.959999084472656
2011-03-08,22.059999465942383
2011-03-09,22.020000457763672
2011-03-10,22.190000534057617
2011-03-11,22.030000686645508
2011-03-14,21.920000076293945
2011-03-15,21.940000534057617
2011-03-16,22.010000228881836
2011-03-17,21.81999969482422
2011-03-18,21.719999313354492
2011-03-21,21.649999618530273
2011-03-22,21.65999984741211
2011-03-23,21.780000686645508
2011-03-24,21.729999542236328
2011-03-25,21.8799991607666
2011-03-28,21.860000610351562
2011-03-29,21.850000381469727
2011-03-30,21.829999923706055
2011-03-31,21.790000915527344
2011-04-01,21.770000457763672
2011-04-04,21.770000457763672
2011-04-05,21.780000686645508
2011-04-06,21.65999984741211
2011-04-07,21.670000076293945
2011-04-08,21.5
2011-04-11,21.530000686645508
2011-04-12,21.479999542236328
2011-04-13,21.5
2011-04-14,21.420000076293945
2011-04-15,21.459999084472656
2011-04-18,21.65999984741211
2011-04-19,21.530000686645508
2011-04-20,21.31999969482422
2011-04-21,21.239999771118164
2011-04-25,21.209999084472656
2011-04-26,21.15999984741211
2011-04-27,21.020000457763672
2011-04-28,20.959999084472656
2011-04-29,20.950000762939453
2011-05-02,20.969999313354492
2011-05-03,20.969999313354492
