Date,SPY_Volume,SPY_Volume_Change
1993-01-29,1003200,
1993-02-01,480500,-0.7361229414683095
1993-02-02,201300,-0.8700308957646019
1993-02-03,529400,0.966947957147255
1993-02-04,531500,0.003958907989002114
1993-02-05,492100,-0.07702124991006976
1993-02-08,596100,0.19172649035394862
1993-02-09,122100,-1.5855680571092226
1993-02-10,379600,1.1342776856191144
1993-02-11,19500,-2.9687036011660712
1993-02-12,42500,0.7790896103606695
1993-02-16,374800,2.1768884744338965
1993-02-17,210900,-0.5750084628795396
1993-02-18,378100,0.5837746234121592
1993-02-19,34900,-2.3826718816885055
1993-02-22,513600,2.6889579231673704
1993-02-23,373700,-0.3179914158843147
1993-02-24,26300,-2.653884397307719
1993-02-25,44500,0.5259202499884754
1993-02-26,66200,0.397191273770769
1993-03-01,66500,0.004521484718845059
1993-03-02,182400,1.009000129978423
1993-03-03,280100,0.4289446046258316
1993-03-04,89500,-1.1409080569852534
1993-03-05,40000,-0.8053591711668737
1993-03-08,50800,0.23901690047050117
1993-03-09,169300,1.2037759345546526
1993-03-10,194400,0.13824560288724896
1993-03-11,70900,-1.008647458488257
1993-03-12,643600,2.205806981580146
1993-03-15,310800,-0.7279277966247353
1993-03-16,30800,-2.3116349285139624
1993-03-17,21800,-0.34560472018448607
1993-03-18,59300,1.000699336208637
1993-03-19,66900,0.12058966113050218
1993-03-22,183400,1.008470592688182
1993-03-23,55200,-1.200706606539315
1993-03-24,37200,-0.3946541920039497
1993-03-25,110100,1.0850802824495336
1993-03-26,101500,-0.08133024524679122
1993-03-29,87100,-0.15300191462338475
1993-03-30,56000,-0.44170519312330825
1993-03-31,111600,0.6895693592120615
1993-04-01,129500,0.1487598311923808
1993-04-02,59400,-0.7793866547709918
1993-04-05,172200,1.0643623656250298
1993-04-06,129700,-0.28343250067123194
1993-04-07,28000,-1.5330195811471938
1993-04-08,180800,1.8651869377828714
1993-04-12,348500,0.6562467822425031
1993-04-13,146100,-0.869346911443925
1993-04-14,119600,-0.20013847724012201
1993-04-15,148600,0.2171052907671278
1993-04-16,47900,-1.1321426278667897
1993-04-19,157000,1.1871303009314378
1993-04-20,279500,0.5767564872468469
1993-04-21,67900,-1.4149662580305034
1993-04-22,97700,0.36386552448408516
1993-04-23,106000,0.08153753506333139
1993-04-26,62600,-0.5266738160060154
