Date,EW_Large_NoDiv,EW_Large_WithDiv,EW_Small_NoDiv,EW_Small_WithDiv
1980-01-02,,,,
1980-01-03,-0.0011316369589854506,-0.0011318623226582677,,
1980-01-04,0.00768505044954927,0.007685081424176213,,
1980-01-07,0.0010641574944138196,0.0010642788197217882,,
1980-01-08,0.014170698070182194,0.01417041975559144,,
1980-01-09,0.002237021285161268,0.002237139325722218,,
1980-01-10,0.001499137337341392,0.0014990724534469102,,
1980-01-11,-0.006776364362171004,-0.006776287580927813,,
1980-01-14,0.0012326375824609065,0.002384032523273369,,
1980-01-15,-0.0039959922069987665,-0.003995794498099282,,
1980-01-16,-0.004779687045837598,-0.004779878559369464,,
1980-01-17,-0.012894241304955048,-0.012894074203410261,,
1980-01-18,-0.002060732879963555,-0.00206085934316127,,
1980-01-21,0.013405234343561778,0.013405307032870923,,
1980-01-22,0.0028063461348883227,0.0028064450211826774,,
1980-01-23,0.0065670679838070066,0.006566877254356425,,
1980-01-24,-0.0032624279596678895,-0.0032622944675879235,,
1980-01-25,0.0020823831381734112,0.002082601747956925,,
1980-01-28,0.005638637393831734,0.005638553359796493,,
1980-01-29,0.0006324725796925121,0.0006325417885513572,,
1980-01-30,0.005227974840304503,0.0052277948633500885,,
1980-01-31,0.0005018049762996749,0.0005015878222689523,,
1980-02-01,-0.0003178917151707609,-0.0003177774479489736,,
1980-02-04,-0.00967019053435636,-0.0077509899064050185,,
1980-02-05,0.0025445708099197184,0.0025445469349843746,,
1980-02-06,0.0033225359540221045,0.003322682246061142,,
1980-02-07,0.0034766069869372656,0.0034767162964674247,,
1980-02-08,0.004488110532443799,0.0054470041609526966,,
1980-02-11,-0.009378466363512557,-0.009378203351793896,,
1980-02-12,0.00893892795776694,0.008938758034641132,,
1980-02-13,-0.00010062998910039507,-0.00010050302132039914,,
1980-02-14,-0.006055137762262118,-0.006055296826561158,,
1980-02-15,-0.01726884774810915,-0.016587301558376157,,
1980-02-19,-0.004948574659474478,-0.0049487206721367,,
1980-02-20,0.013267478511160072,0.013267541395936411,,
1980-02-21,-0.01701441903610503,-0.01701416430465179,,
1980-02-22,-0.00011611653278521643,-0.00011641779987917183,,
1980-02-25,-0.004084981713397365,-0.004084790461257001,,
1980-02-26,0.002237635219100945,0.0022376014689539313,,
1980-02-27,-0.010451816190894542,-0.010451897961223814,,
1980-02-28,-0.0015933212023557415,-0.0006615183346071901,,
1980-02-29,0.003118939504647959,0.0031188033773287957,,
1980-03-03,-0.017387297762005698,-0.01738700638460485,,
1980-03-04,-0.00839245545275583,-0.008392765804187453,,
1980-03-05,-0.01570325172015856,-0.01570318997839999,,
1980-03-06,-0.024854501755538973,-0.024854193743505133,,
1980-03-07,-0.0009692068803874295,-0.0009693045784110215,,
1980-03-10,0.0009049194587876557,0.0023049771449951155,,
1980-03-11,0.01619572713802335,0.01801194070780498,,
1980-03-12,-0.002417880019865465,-0.0024179972391521823,,
1980-03-13,-0.005714324547692779,-0.005714433066124654,,
1980-03-14,-0.006172610897511644,-0.006172385227414052,,
1980-03-17,-0.018230035232052313,-0.01822998003940072,,
1980-03-18,0.008917112648920143,0.008916936561696766,-0.06453904416839185,-0.06453858565619564
1980-03-19,0.006211000845984823,0.006210930766525035,0.0,0.0
1980-03-20,-0.00961018772801911,-0.009610021596320201,0.032790058165263335,0.03278960637338176
1980-03-21,-0.0012476191637983808,-0.0012475765726763775,0.0,0.0
1980-03-24,-0.03421548380423862,-0.0342156500099906,-0.03279005816526326,-0.03278960637338173
1980-03-25,0.002884272795815689,0.0028844552667292053,-0.033900619376902696,-0.033901106719735334
1980-03-26,-0.005765216657023458,-0.005765318505557679,0.0,0.0
1980-03-27,-0.018532631235494177,-0.018532688553455027,-0.053110211417377554,-0.05310932243306667
1980-03-28,0.040693523993538525,0.04095887864718357,0.018018664345147442,0.01801847936009043
1980-03-31,0.026134566616297643,0.026134688747974238,0.06899216644913289,0.06899194979271156
1980-04-01,0.006654531598600139,0.006654437805023588,0.06453904416839187,0.06453858565619557
1980-04-02,0.007335786788192036,0.007335899614342542,0.06062401043045607,0.06062449657439535
1980-04-03,0.002383404089488282,0.0023833656918607086,0.0,0.0
1980-04-07,-0.02366442163514621,-0.023664543389945905,-0.0298521465341234,-0.02985238627738706
1980-04-08,0.0046478419521359254,0.004647902753472415,0.029852146534123276,0.029852386277387122
1980-04-09,0.01793557270434643,0.017935503920578945,0.0,0.0
1980-04-10,0.014004663022382886,0.01400461737197962,0.0,0.0
1980-04-11,-0.0043100270265551185,-0.004309860473361878,0.0,0.0
1980-04-14,-0.011771744715996492,-0.010838732484858341,0.0,0.0
1980-04-15,-0.002806086314824321,-0.0028061085303525105,0.05715888366490596,0.05715864661301959
1980-04-16,-0.008114918733958256,-0.008114926981672342,0.0,0.0
1980-04-17,0.0015505773141573055,0.0015506435836255819,-0.057158883664906034,-0.05715864661301963
1980-04-18,-0.008111025145121836,-0.008111083352834178,0.0,0.0
1980-04-21,-0.006130232383979179,-0.00613035446785244,-0.060624010430456045,-0.06062449657439536
1980-04-22,0.037305276265227894,0.037305436538523966,0.0,0.0
1980-04-23,0.010501510145399314,0.010501566993489125,0.0,0.0
1980-04-24,0.01849609048817595,0.018496038901886377,-0.03174898600312857,-0.031748979282813915
1980-04-25,-0.002417937387496822,-0.002417940439431775,0.0,0.0
1980-04-28,0.006170634525217126,0.0061704515527918995,0.0,0.0
1980-04-29,-0.0033915263368715022,-0.0033913621838516724,0.0,0.0
1980-04-30,0.0005674854375790717,0.0005676751731903159,0.0,0.0
1980-05-01,-0.004901654734140361,-0.0049018525212700765,0.0,0.0
1980-05-02,0.0032665249636313082,0.003266500386385031,0.06252084989946124,0.06252108957982215
1980-05-05,0.01598669717745093,0.015986732451729102,0.0,0.0
1980-05-06,0.009840929262875943,0.009840995995291969,0.029852146534123276,0.029852386277387122
1980-05-07,0.008385308631282716,0.010008686875478456,0.0,0.0
1980-05-08,-0.008987924188196035,-0.008987925647694036,0.028987747843718912,0.028987435378393146
1980-05-09,-0.010988990588391813,-0.010989012827715751,-0.028987747843718888,-0.02898743537839314
1980-05-12,-0.0037004573951549954,-0.0028780041409221416,-0.0298521465341234,-0.02985238627738706
1980-05-13,0.009635821997238394,0.009635635519846357,0.0,0.0
1980-05-14,0.008923133613104156,0.008923301439737534,0.029852146534123276,0.029852386277387122
1980-05-15,0.0006643921979263531,0.0006642652659096516,0.0,0.0
1980-05-16,0.00470842419767584,0.004708429024566785,-0.0298521465341234,-0.02985238627738706
1980-05-19,0.003934245418973658,0.004494329734807822,0.0,0.0
1980-05-20,-0.0013424122501368456,-0.0013424164997741473,0.029852146534123276,0.029852386277387122
1980-05-21,-0.0051301669192826685,-0.005130229358153717,-0.0298521465341234,-0.02985238627738706
1980-05-22,0.012237491431073692,0.01223768443373626,0.0,0.0
1980-05-23,0.012351273079425209,0.01235112316114083,0.11441024924943825,0.11441057437717704
1980-05-27,0.0020037614137062474,0.0020038131344377835,-0.027399219050408978,-0.027399541486770214
1980-05-28,0.004119027559228671,0.0041190137156605095,0.027399219050408947,0.02739954148677022
1980-05-29,-0.012700151508837772,-0.012700137317289759,0.0,0.0
1980-05-30,0.009635547241462554,0.009635493079915434,-0.027399219050408978,-0.027399541486770214
1980-06-02,-0.007107866981149494,-0.0064866601776342675,0.0,0.0
1980-06-03,-0.007017316982089027,-0.0070174816546349555,0.0,0.0
1980-06-04,0.012646229656779594,0.012646372933918784,0.0,0.0
1980-06-05,0.002367011666342436,0.002366957217543461,0.0,0.0
1980-06-06,0.010984339585855417,0.010984398782050818,0.027399219050408947,0.02739954148677022
1980-06-09,-0.005405273420164966,-0.003205982443787703,0.026668479056911366,0.026668051048451644
1980-06-10,0.014523924140044617,0.014523881056184403,0.02597471612792192,0.02597466516222879
1980-06-11,0.012118103487380495,0.01211808617617362,-0.025974716127921856,-0.025974665162228752
1980-06-12,-0.0026068087807486905,-0.0026068753584153146,0.02597471612792192,0.02597466516222879
1980-06-13,0.000984713717261508,0.0009847536919788552,-0.025974716127921856,-0.025974665162228752
1980-06-16,-0.0037933104037548506,-0.0035915248696960587,0.0,0.0
1980-06-17,0.004485930071786318,0.00448595354644508,0.0,0.0
1980-06-18,-0.006866651191027659,-0.006866746997487275,0.0,0.0
1980-06-19,-0.028256882119987396,-0.028256786413405437,-0.02666847905691134,-0.026668051048451658
1980-06-20,1.4751481456467455e-05,1.4767511100799969e-05,0.0,0.0
1980-06-23,0.00216500590780762,0.0021650871963618755,0.026668479056911366,0.026668051048451644
1980-06-24,0.003990383559131702,0.003990264487688805,0.051292757945859496,0.05129339625900565
1980-06-25,0.016080070079426613,0.016079961459752067,0.0,0.0
1980-06-26,-0.004078298908471009,-0.004078210479803238,0.04879049625241755,0.048790108867786196
1980-06-27,-0.0006797373892137737,-0.0006795419173307873,0.0,0.0
1980-06-30,-0.01423526085534154,-0.014235428399318665,0.0,0.0
1980-07-01,0.0031204205434961748,0.0031203901092808927,-0.02409776590652825,-0.024097902272494868
1980-07-02,0.01211931331134822,0.012119212796788896,0.0,0.0
1980-07-03,0.015406801097289664,0.015406912964353033,0.0,0.0
1980-07-07,0.009252098199474043,0.0092521757616734,0.012121520692437885,0.012121052936074654
1980-07-08,0.004438323208925067,0.004438236470353896,0.011976245214090372,0.011976849336420233
1980-07-09,-0.0021208506052495853,-0.002120791917520174,0.0,0.0
1980-07-10,-0.008959075549740837,-0.008959052391364837,0.0,0.0
1980-07-11,0.008978892641892998,0.00897897181174681,0.011834611517090775,0.011834226030665185
1980-07-14,0.018122018145806648,0.019131303191204548,-0.011834611517090879,-0.0118342260306651
1980-07-15,-0.002988723636116499,-0.0029887147483888617,0.023529803540789415,0.023529463397464322
1980-07-16,0.0015477029448190472,0.001547717047372538,0.0,0.0
1980-07-17,0.006529594839401628,0.006529525753716036,0.022989733708788637,0.022990009275653568
1980-07-18,0.006427401989849193,0.006427414584707836,0.0,0.0
1980-07-21,0.0036000673369595494,0.003600183760721372,0.044452165432268605,0.0444520747083154
1980-07-22,-0.005719511805350712,-0.005719705312596982,0.010810965259227296,0.010810906693367405
1980-07-23,-0.005480010289748792,-0.005479926888746867,-0.010810965259227406,-0.010810906693367366
1980-07-24,0.000677565433965695,0.00067760824941986,0.0,0.0
1980-07-25,-0.002116180016045099,-0.0021161625779684205,0.0,0.0
1980-07-28,0.012580147030612792,0.012580024306121214,0.0,0.0
