one_way_bps,Final (Beta Slider),CONTROL: static 50/50 blend,Min-vol sleeve only
0.0,0.1874302274742803,0.18277674355785556,0.1767828643073568
5.0,0.18070589973837636,0.17844457686827386,0.17468701798921216
10.0,0.17401870249309037,0.1741278807144715,0.17259474205515302
15.0,0.16736843585394534,0.1698266012223717,0.1705060306705113
25.0,0.15417790009488508,0.16127007764107715,0.16633927825652006
40.0,0.13466413891117712,0.1485495808667856,0.16011573841463433
60.0,0.10914544738043386,0.13180003642569793,0.15186707472890348
100.0,0.05977559706501934,0.09901227215439534,0.135537703502572
