rebalance,no_trade_band,prob_halflife,signal_strength,Sharpe,Ann_Return,Max_Drawdown,Turnover
W,0.005,10.0,1.0,1.051026148130936,0.1765676337518569,-0.16575574264614523,9.899006842203836
W,0.0025,10.0,1.0,1.0427146111994623,0.17455852888435164,-0.16507562181418034,10.379375611649364
M,0.005,,1.0,1.0406522903930733,0.17496743578805796,-0.16699248552121715,5.504492175651388
M,0.0025,,1.0,1.0378386082850104,0.1747001847606795,-0.16563141896794575,5.855200182410695
W,0.0,10.0,1.0,1.0296189753329963,0.1720565266767795,-0.16471141840695913,12.213003240995098
M,0.0,,1.0,1.0235507901805296,0.17199865708531092,-0.16599288026119519,7.528477168627863
W,0.005,,1.0,1.0212212041980204,0.16856323329910317,-0.161341568076647,11.350461603977521
M,0.005,,0.75,1.0202242793128895,0.16748826184692933,-0.1595856267533421,4.897500683337911
W,0.005,10.0,0.75,1.020049803445896,0.16694662182037678,-0.16055094191641417,8.9667353865899
M,0.005,10.0,1.0,1.0198612454371623,0.17361864791932868,-0.16483921019665682,5.331334503830394
W,0.0025,10.0,0.75,1.0195158569090563,0.1665548468755107,-0.15981114217816306,9.355013275613665
M,0.0025,,0.75,1.0155958166400543,0.16648115885268133,-0.1611452109980619,5.219381420551086
W,0.0025,,1.0,1.0135296893807597,0.16697628946050425,-0.16104232511981298,11.769280649995288
M,0.0025,10.0,1.0,1.013173114341397,0.1720158423309066,-0.16550484191538772,5.714846022658338
W,0.0,10.0,0.75,1.0098713156374797,0.16479731202131864,-0.15986643407971413,11.19422458697532
M,0.0,,0.75,1.0035144983131161,0.1646158511173601,-0.1613094073696414,6.932161301237468
W,0.005,,0.75,1.0014167713842386,0.16166257045825283,-0.15708531709027684,10.015112339081975
W,0.0,,1.0,1.0013847477458728,0.1646409986473112,-0.16114032035424486,13.52505279557209
W,0.0025,,0.75,1.000622827730873,0.16119888076143662,-0.15718416390366463,10.417978524965227
M,0.0,10.0,1.0,1.0001746881288252,0.16927340485296805,-0.16534482441705656,7.453211719080884
M,0.0025,10.0,0.75,1.000001196947203,0.1652035428568075,-0.16237764557483236,5.10083179896319
M,0.005,10.0,0.75,0.9935922585952386,0.16401588232065967,-0.16177674626208582,4.74595552491317
W,0.0,,0.75,0.9892231294643178,0.15926688129170574,-0.15628072962144157,12.19382875725664
M,0.0,10.0,0.75,0.9846817070546618,0.16256365364970948,-0.16279495452527304,6.871389422924277
D,0.005,10.0,1.0,0.9319843346046544,0.15334635318174983,-0.16548708724415684,20.572993795792403
D,0.0025,10.0,1.0,0.9296275682068468,0.15232750558182295,-0.16364199590170658,21.07865252481184
D,0.0025,10.0,0.75,0.9170495360282428,0.1470058658218496,-0.15939919671078873,19.232639062137366
D,0.0,10.0,1.0,0.9134013220407972,0.14898527260589556,-0.16308136588671107,22.746708588583996
D,0.005,10.0,0.75,0.911073087740393,0.1462270957890346,-0.16186031210249197,18.82438237010019
D,0.0,10.0,0.75,0.9031695822079917,0.14409096107291175,-0.15901935072865625,20.83819805027728
D,0.0025,,0.75,0.8519680095880372,0.1335811152968125,-0.15782820053085345,23.19759571688403
D,0.005,,0.75,0.84856220964457,0.13336338168879758,-0.15869740872481264,22.620324066902032
D,0.005,,1.0,0.8471107122966467,0.13576609549958674,-0.17144435638895472,25.765542334857194
D,0.0025,,1.0,0.8386550286128187,0.13375661664000305,-0.17220994029875902,26.37607527911578
D,0.0,,0.75,0.8352553023888473,0.13044015295423184,-0.15883652861204955,25.02484084386841
D,0.0,,1.0,0.823671282508268,0.1307799722252263,-0.1723932443493088,28.286210134144145
